公司名称,省份,城市,营业收入,利润,员工人数,上市日期,行业分类,产品类型
深圳赛格股份有限公司,广东,深圳市,4.63亿,4358.77万,2615,1996-12-26,专业市场,电子市场流通、智慧城市及城市服务、检验检测业务、新能源业务
北方华锦化学工业股份有限公司,辽宁,盘锦市,77.46亿,5.52亿,8332,1997-01-30,石油加工,石化板块
深圳市中金岭南有色金属股份有限公司,广东,深圳市,91.06亿,2.81亿,9835,1997-01-23,铅锌,有色金属
深圳市农产品集团股份有限公司,广东,深圳市,8.99亿,9622.23万,4863,1997-01-10,专业市场,农产品流通、农产品供应链服务、农产品电子商务
深圳华强实业股份有限公司,广东,深圳市,46.50亿,2.63亿,1881,1997-01-30,专业市场,电子元器件授权分销、基于大数据的电子产业链B2B综合服务、电子元器件及电子终端产品实体交易市场、物业经营
中兴通讯股份有限公司,广东,深圳市,262.42亿,20.84亿,73709,1997-11-18,通信传输设备,运营商网络、消费者业务、政企业务
北方国际合作股份有限公司,北京,北京市,17.88亿,7164.07万,1917,1998-06-05,专业工程,国际工程承包、国内建筑工程、货物贸易、货运代理、金属包装容器、发电收入、其他
中国长城科技集团股份有限公司,广东,深圳市,31.17亿,-1.37亿,15410,1997-06-26,PC、服务器及硬件,高新电子、信息安全整机及解决方案、电源产品、园区及物业服务
深圳华控赛格股份有限公司,广东,深圳市,7090.65万,-2641.60万,482,1997-06-11,环保材料,环保、仓租服务、建筑工程
深圳华侨城股份有限公司,广东,深圳市,85.47亿,9.32亿,23986,1997-09-10,景区,旅游综合业务、房地产
深圳市特发信息股份有限公司,广东,深圳市,15.30亿,591.43万,2877,2000-05-11,通信传输设备,光纤光缆、智能接入、军工信息化、智慧服务
深圳市海王生物工程股份有限公司,广东,深圳市,101.34亿,1.43亿,10484,1998-12-18,医药商业,医药商业、医药制造及食品、保健品
深圳市盐田港股份有限公司,广东,深圳市,1.45亿,8485.12万,848,1997-07-28,港口,高速公路收费、港口货物装卸运输、海关监管仓、其他港口配套仓储经营
深圳市机场股份有限公司,广东,深圳市,7.87亿,5298.83万,5241,1998-04-20,机场,航空主业、航空增值、航空物流、航空广告
深圳市天健(集团)股份有限公司,广东,深圳市,41.36亿,9.22亿,11246,1999-07-21,专业工程,城市建设、综合开发、城市服务
深圳市广聚能源股份有限公司,广东,深圳市,3.08亿,1280.34万,350,2000-07-24,石油天然气贸易,成品油、液化石油气、危险化学品
中信海洋直升机股份有限公司,广东,深圳市,3.32亿,3238.88万,1005,2000-07-31,航空,通航运输、通航维修、融资租赁
TCL科技集团股份有限公司,广东,惠州市,321.74亿,32.36亿,48471,2004-01-30,电视机,半导体显示业务、半导体光伏及半导体材料业务、产业金融及投资平台
宜华健康医疗股份有限公司,广东,汕头市,3.51亿,-6248.90万,8414,2000-08-07,医疗服务,医疗机构投资及运营业务、养老社区投资及运营业务、医疗后勤服务业务、医疗专业工程业务
中成进出口股份有限公司,北京,北京市,1.20亿,262.60万,327,2000-09-06,贸易,成套设备出口和工程承包、一般贸易、境外实业经营
安徽丰原药业股份有限公司,安徽,芜湖市,8.64亿,2659.96万,4556,2000-09-20,化学制剂,注射剂、粉针类、散剂、片剂、胶囊剂、颗粒剂、贴剂、原料药
四川省新能源动力股份有限公司,四川,成都市,11.63亿,2.28亿,251,2000-09-26,氮肥,新能源综合服务业务、电力销售
华数传媒控股股份有限公司,浙江,杭州市,16.57亿,1.37亿,12944,2000-09-06,有线电视,信息传播
中联重科股份有限公司,湖南,长沙市,190.50亿,24.25亿,23528,2000-10-12,工程机械,混凝土机械、起重机械、土方机械、其他机械和产品、农业机械、金融服务
石家庄常山北明科技股份有限公司,河北,石家庄市,14.25亿,-1.05亿,5007,2000-07-24,棉纺,纺织、软件和信息技术服务
新疆国际实业股份有限公司,新疆,乌鲁木齐市,1.54亿,3246.71万,258,2000-09-26,石油天然气贸易,油品销售、房地产销售、仓储服务
申万宏源集团股份有限公司,新疆,乌鲁木齐市,86.51亿,24.52亿,11707,2015-01-26,证券,企业金融业务、个人金融业务、机构服务及交易业务、投资管理业务
江苏东方盛虹股份有限公司,江苏,苏州市,64.65亿,5.98亿,18597,2000-05-29,火电,化纤、石化、热电
美的集团股份有限公司,广东,佛山市,830.17亿,65.69亿,149239,2013-09-18,空调、小家电,制造业
